ArraySize,Misses,MissPercent
10000,2983,99.43
15000,2977,99.23
20000,2971,99.03
25000,2946,98.20
30000,2949,98.30
35000,2956,98.53
40000,2938,97.93
45000,2928,97.60
50000,2945,98.17
55000,2932,97.73
60000,2922,97.40
65000,2888,96.27
70000,2879,95.97
75000,2880,96.00
80000,2885,96.17
85000,2877,95.90
90000,2850,95.00
95000,2874,95.80
100000,2869,95.63
105000,2836,94.53
110000,2832,94.40
115000,2818,93.93
120000,2828,94.27
125000,2840,94.67
130000,2813,93.77
135000,2815,93.83
140000,2808,93.60
145000,2812,93.73
150000,2827,94.23
155000,2770,92.33
160000,2789,92.97
165000,2787,92.90
170000,2744,91.47
175000,2755,91.83
180000,2739,91.30
185000,2734,91.13
190000,2739,91.30
195000,2757,91.90
200000,2719,90.63
205000,2695,89.83
210000,2692,89.73
215000,2660,88.67
220000,2699,89.97
225000,2683,89.43
230000,2708,90.27
235000,2649,88.30
240000,2647,88.23
245000,2660,88.67
250000,2660,88.67
255000,2651,88.37
260000,2634,87.80
265000,2639,87.97
270000,2589,86.30
275000,2636,87.87
280000,2638,87.93
285000,2624,87.47
290000,2609,86.97
295000,2632,87.73
300000,2593,86.43
305000,2640,88.00
310000,2592,86.40
315000,2544,84.80
320000,2603,86.77
325000,2575,85.83
330000,2522,84.07
335000,2550,85.00
340000,2516,83.87
345000,2522,84.07
350000,2551,85.03
355000,2512,83.73
360000,2508,83.60
365000,2499,83.30
370000,2476,82.53
375000,2464,82.13
380000,2476,82.53
385000,2483,82.77
390000,2491,83.03
395000,2472,82.40
400000,2465,82.17
405000,2462,82.07
410000,2422,80.73
415000,2439,81.30
420000,2458,81.93
425000,2397,79.90
430000,2414,80.47
435000,2431,81.03
440000,2426,80.87
445000,2410,80.33
450000,2399,79.97
455000,2341,78.03
460000,2423,80.77
465000,2342,78.07
470000,2387,79.57
475000,2342,78.07
480000,2363,78.77
485000,2394,79.80
490000,2328,77.60
495000,2363,78.77
500000,2272,75.73
505000,2313,77.10
510000,2312,77.07
515000,2328,77.60
520000,2309,76.97
525000,2345,78.17
530000,2281,76.03
535000,2307,76.90
540000,2328,77.60
545000,2299,76.63
550000,2244,74.80
555000,2271,75.70
560000,2277,75.90
565000,2282,76.07
570000,2243,74.77
575000,2223,74.10
580000,2238,74.60
585000,2227,74.23
590000,2194,73.13
595000,2219,73.97
600000,2201,73.37
605000,2210,73.67
610000,2207,73.57
615000,2228,74.27
620000,2212,73.73
625000,2224,74.13
630000,2174,72.47
635000,2145,71.50
640000,2173,72.43
645000,2178,72.60
650000,2172,72.40
655000,2157,71.90
660000,2185,72.83
665000,2154,71.80
670000,2162,72.07
675000,2138,71.27
680000,2168,72.27
685000,2083,69.43
690000,2128,70.93
695000,2139,71.30
700000,2112,70.40
705000,2067,68.90
710000,2090,69.67
715000,2039,67.97
720000,2058,68.60
725000,2083,69.43
730000,2075,69.17
735000,2104,70.13
740000,2055,68.50
745000,2105,70.17
750000,2065,68.83
755000,2081,69.37
760000,2013,67.10
765000,2071,69.03
770000,2067,68.90
775000,2035,67.83
780000,2044,68.13
785000,2034,67.80
790000,1988,66.27
795000,1991,66.37
800000,1972,65.73
805000,2037,67.90
810000,1978,65.93
815000,1965,65.50
820000,1995,66.50
825000,1945,64.83
830000,1969,65.63
835000,2019,67.30
840000,1921,64.03
845000,1986,66.20
850000,2020,67.33
855000,1923,64.10
860000,1936,64.53
865000,1924,64.13
870000,1941,64.70
875000,1902,63.40
880000,1890,63.00
885000,1893,63.10
890000,1949,64.97
895000,1888,62.93
900000,1987,66.23
905000,1934,64.47
910000,1943,64.77
915000,1926,64.20
920000,1922,64.07
925000,1882,62.73
930000,1873,62.43
935000,1884,62.80
940000,1870,62.33
945000,1812,60.40
950000,1878,62.60
955000,1843,61.43
960000,1833,61.10
965000,1845,61.50
970000,1847,61.57
975000,1865,62.17
980000,1825,60.83
985000,1812,60.40
990000,1808,60.27
995000,1809,60.30
1000000,1815,60.50
