ArraySize,AvgFoundIndex
10000,2932.00
60000,30665.60
110000,54171.53
160000,77682.73
210000,97275.06
260000,126629.62
310000,155534.84
360000,191336.17
410000,179473.86
460000,247325.85
510000,260087.22
560000,289151.54
610000,321713.20
660000,319273.80
710000,369202.30
760000,373419.46
810000,384173.62
860000,385276.94
910000,443826.88
960000,462705.45
1010000,534528.12
1060000,558901.61
1110000,555649.62
1160000,578630.48
1210000,596850.04
1260000,598665.37
1310000,625780.46
1360000,690844.90
1410000,725203.52
1460000,734414.40
1510000,759900.76
1560000,790051.06
1610000,787596.10
1660000,811687.61
1710000,834667.88
1760000,888293.71
1810000,881303.05
1860000,910747.14
1910000,878382.52
1960000,947295.42
2010000,985535.98
2060000,992929.36
2110000,1029529.13
2160000,1115326.36
2210000,1032019.63
2260000,1139142.50
2310000,1095594.13
2360000,1200631.94
2410000,1192814.65
2460000,1145903.08
2510000,1233979.94
2560000,1235769.40
2610000,1219913.72
2660000,1254312.39
2710000,1296779.53
2760000,1366976.80
2810000,1351396.33
2860000,1351769.57
2910000,1425324.16
2960000,1410081.26
3010000,1504920.44
3060000,1383238.96
3110000,1457381.62
3160000,1535440.35
3210000,1535205.33
3260000,1496821.79
3310000,1602200.41
3360000,1611572.57
3410000,1558436.27
3460000,1640614.86
3510000,1626326.43
3560000,1675726.65
3610000,1700263.40
3660000,1756256.56
3710000,1785945.04
3760000,1733011.57
3810000,1856613.39
3860000,1792782.40
3910000,1842574.54
3960000,1763999.18
4010000,1864753.79
4060000,1944047.64
4110000,1878741.12
4160000,2036001.35
4210000,1963691.87
4260000,1972789.81
4310000,1972508.39
4360000,1993930.21
4410000,2029759.17
4460000,2073303.14
4510000,2128264.14
4560000,2135808.30
4610000,2181322.04
4660000,2113190.57
4710000,2171822.27
4760000,2178968.89
4810000,2236362.21
4860000,2118078.33
4910000,2299974.59
4960000,2300622.60
