ArraySize,Hits,Misses,HitPercent,AvgTime,AvgFoundIndex
10000,14,39986,0.03,0.0000001092,4615.07
15000,26,39974,0.07,0.0000001134,6438.54
20000,57,39943,0.14,0.0000001161,9675.44
25000,41,39959,0.10,0.0000001191,12250.10
30000,45,39955,0.11,0.0000001204,15119.38
35000,64,39936,0.16,0.0000001241,15083.25
40000,90,39910,0.22,0.0000001281,18888.20
45000,76,39924,0.19,0.0000001312,19724.42
50000,99,39901,0.25,0.0000001285,25288.47
55000,112,39888,0.28,0.0000001320,28555.21
60000,126,39874,0.32,0.0000001350,29549.06
65000,125,39875,0.31,0.0000001347,30885.53
70000,143,39857,0.36,0.0000001341,32894.98
75000,148,39852,0.37,0.0000001391,40112.85
80000,172,39828,0.43,0.0000001402,35736.39
85000,149,39851,0.37,0.0000001401,44202.44
90000,176,39824,0.44,0.0000001461,46900.06
95000,217,39783,0.54,0.0000001446,45781.61
100000,206,39794,0.52,0.0000001430,52902.15
105000,178,39822,0.45,0.0000001428,51923.71
110000,226,39774,0.56,0.0000001370,51515.47
115000,241,39759,0.60,0.0000001410,57649.91
120000,253,39747,0.63,0.0000001636,60670.91
125000,211,39789,0.53,0.0000001380,63058.30
130000,236,39764,0.59,0.0000001429,62546.76
135000,289,39711,0.72,0.0000001470,65617.97
140000,286,39714,0.71,0.0000001451,72368.65
145000,276,39724,0.69,0.0000001561,75001.03
150000,287,39713,0.72,0.0000001455,79302.21
155000,339,39661,0.85,0.0000001428,77532.23
160000,321,39679,0.80,0.0000001527,78539.06
165000,339,39661,0.85,0.0000001476,82646.23
170000,342,39658,0.85,0.0000001424,84629.31
175000,332,39668,0.83,0.0000001509,85885.92
180000,367,39633,0.92,0.0000001569,89275.70
185000,358,39642,0.90,0.0000001470,96001.99
190000,344,39656,0.86,0.0000001510,96119.85
195000,385,39615,0.96,0.0000001445,97979.62
200000,370,39630,0.92,0.0000001612,100220.68
205000,397,39603,0.99,0.0000001465,96274.20
210000,383,39617,0.96,0.0000001488,107286.48
215000,433,39567,1.08,0.0000001501,108867.45
220000,425,39575,1.06,0.0000001502,106751.13
225000,399,39601,1.00,0.0000001502,108302.55
230000,435,39565,1.09,0.0000001560,110414.41
235000,432,39568,1.08,0.0000001504,121433.46
240000,495,39505,1.24,0.0000001533,126687.72
245000,478,39522,1.20,0.0000001550,123887.76
250000,477,39523,1.19,0.0000001402,123556.32
255000,500,39500,1.25,0.0000001446,130169.03
260000,524,39476,1.31,0.0000001601,127077.55
265000,514,39486,1.29,0.0000001411,137333.48
270000,495,39505,1.24,0.0000001494,132016.46
275000,550,39450,1.38,0.0000001547,132169.26
280000,542,39458,1.35,0.0000001428,141069.49
285000,586,39414,1.47,0.0000001438,142704.71
290000,576,39424,1.44,0.0000001468,144805.19
295000,592,39408,1.48,0.0000001501,149247.50
300000,554,39446,1.39,0.0000001503,150351.88
305000,594,39406,1.49,0.0000001509,148921.80
310000,554,39446,1.39,0.0000001535,152928.36
315000,635,39365,1.59,0.0000001487,154891.92
320000,620,39380,1.55,0.0000001434,158316.31
325000,621,39379,1.55,0.0000001490,165541.02
330000,662,39338,1.65,0.0000001463,161924.28
335000,660,39340,1.65,0.0000001542,170429.14
340000,653,39347,1.63,0.0000001451,169482.71
345000,654,39346,1.64,0.0000001488,177228.36
350000,700,39300,1.75,0.0000001477,172637.34
355000,729,39271,1.82,0.0000001463,176956.61
