Size,FirstPivot_ms,RandomPivot_ms,N_squared,N_logN
10000,49.667,0.5296,1e+08,132877
15000,112.321,0.77705,2.25e+08,208090
20000,208.739,1.07255,4e+08,285754
25000,305.955,1.333,6.25e+08,365241
30000,438.886,1.632,9e+08,446180
35000,598.897,1.9344,1.225e+09,528327
40000,795.03,2.16085,1.6e+09,611508
45000,1011.81,2.39635,2.025e+09,695594
50000,1285.32,2.6996,-1.79497e+09,780482
55000,1498.44,2.98885,-1.26997e+09,866093
60000,1770.31,3.21635,-6.94967e+08,952360
65000,2069.52,3.54985,-6.99673e+07,1.03923e+06
70000,2421.98,3.75045,6.05033e+08,1.12665e+06
75000,2766.27,4.12705,1.33003e+09,1.2146e+06
80000,3159.65,4.4046,2.10503e+09,1.30302e+06
85000,3570.32,4.64585,-1.36493e+09,1.39189e+06
90000,4007.12,4.91765,-4.89935e+08,1.48119e+06
95000,4473.42,5.2544,4.35065e+08,1.57089e+06
100000,4938.56,5.4603,1.41007e+09,1.66096e+06
