Size,Avg_Time_ms,N_logN
10000,2.6616,132877
60000,17.4866,952360
110000,34.7506,1.84219e+06
160000,49.883,2.76603e+06
210000,63.2992,3.71281e+06
260000,79.7838,4.67692e+06
310000,107.4,5.65499e+06
360000,120.644,6.64475e+06
410000,133.737,7.64456e+06
460000,146.201,8.65319e+06
510000,162.045,9.66967e+06
560000,178.109,1.06932e+07
610000,194.832,1.17233e+07
660000,210.361,1.27592e+07
710000,228.822,1.38006e+07
760000,244.843,1.48471e+07
810000,263.926,1.58983e+07
860000,281.354,1.6954e+07
910000,296.497,1.80139e+07
960000,312.13,1.90778e+07
1010000,327.819,2.01454e+07
1060000,344.684,2.12166e+07
1110000,364.569,2.22912e+07
1160000,383.52,2.3369e+07
1210000,397.952,2.445e+07
1260000,413.172,2.55339e+07
1310000,432.874,2.66207e+07
1360000,449.504,2.77102e+07
1410000,468.371,2.88024e+07
1460000,491.639,2.98972e+07
1510000,503.065,3.09944e+07
1560000,516.737,3.20941e+07
1610000,536.034,3.3196e+07
1660000,552.936,3.43002e+07
1710000,572.939,3.54065e+07
1760000,589.264,3.6515e+07
1810000,605.884,3.76255e+07
1860000,621.735,3.8738e+07
1910000,639.925,3.98524e+07
1960000,659.972,4.09687e+07
